Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Mechanics,Domains
The Order of Vampire Hunters,2018,1,4,90,13,397,7.54462,1.8889,1133,"Action Points, Area Movement, Cooperative Game, Dice Rolling, Modular Board, Player Elimination, Secret Unit Deployment, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers",Thematic Games
Salmon Run,2013,2,4,45,10,616,6.54132,1.825,871,"Deck Bag and Pool Building, Grid Movement, Hand Management, Modular Board, Race",Family Games
The Mole in the Hole,1995,2,4,45,8,896,6.30598,1.2941,1520,"Map Reduction, Modular Board",Children's Games
The Mole in the Hole,1995,2,4,45,8,896,6.30598,1.2941,1520,"Map Reduction, Modular Board", Family Games
Symphony No.9,2018,2,4,70,14,374,7.03805,2.8571,625,"Betting and Bluffing, Commodity Speculation, Set Collection",
Venetia,2013,2,4,90,12,408,7.00333,3.2,1130,"Area Majority / Influence, Dice Rolling",Strategy Games
Judge Dredd: Helter Skelter,2019,2,4,60,14,282,7.54379,1.8571,700,"Area Movement, Hand Management, Interrupts, Kill Steal, Secret Unit Deployment, Variable Player Powers",
Ziegen Kriegen,2007,3,6,15,8,1240,6.16346,1.2288,1860,"Betting and Bluffing, Trick-taking",Family Games
Vye: The Card Game of Capture and Control,2013,2,5,20,8,532,6.75026,1.6176,1074,"Area Majority / Influence, Hand Management",Abstract Games
Vye: The Card Game of Capture and Control,2013,2,5,20,8,532,6.75026,1.6176,1074,"Area Majority / Influence, Hand Management", Family Games
WINK,1994,3,8,20,8,569,6.62039,1.125,1044,,Party Games
Saltlands,2016,1,6,120,12,464,6.94778,2.7333,1144,"Action Points, Cooperative Game, Grid Movement, Modular Board, Team-Based Game, Variable Player Powers",Thematic Games
What's My Word?,1972,2,2,60,10,330,7.12388,2.1562,508,Paper-and-Pencil,Family Games
Vino,1999,3,5,90,12,670,6.45614,2.9841,885,"Area Majority / Influence, Commodity Speculation, Simultaneous Action Selection",Strategy Games
Jagged Alliance: The Board Game,2019,1,4,360,14,231,8.40838,3.45,503,"Action Points, Campaign / Battle Card Driven, Cooperative Game, Modular Board, Scenario / Mission / Campaign Game, Variable Phase Order",Strategy Games
Jagged Alliance: The Board Game,2019,1,4,360,14,231,8.40838,3.45,503,"Action Points, Campaign / Battle Card Driven, Cooperative Game, Modular Board, Scenario / Mission / Campaign Game, Variable Phase Order", Thematic Games
Parthenon: Rise of the Aegean,2005,3,6,120,12,864,6.33271,3.0143,1071,"Pick-up and Deliver, Set Collection, Trading, Voting",Strategy Games
The Last Hundred Yards,2019,2,2,180,0,243,8.18477,3.4815,896,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Modular Board, Simulation",Wargames
Enemy Coast Ahead: The Dambuster Raid,2014,1,3,360,0,257,7.72062,3.0833,995,"Cooperative Game, Dice Rolling, Simulation, Solo / Solitaire Game",Wargames
Cosmic Run: Regeneration,2018,1,4,45,12,299,7.6168,2.2258,703,"Contracts, Dice Rolling, Push Your Luck, Race, Re-rolling and Locking, Set Collection, Solo / Solitaire Game",
Frogriders,2017,2,4,30,8,590,6.53312,1.3636,1037,"Grid Movement, Set Collection, Static Capture",Abstract Games
Frogriders,2017,2,4,30,8,590,6.53312,1.3636,1037,"Grid Movement, Set Collection, Static Capture", Family Games
Untold: Adventures Await,2017,1,4,60,8,364,7.18023,1.6667,1502,"Cooperative Game, Dice Rolling, Role Playing, Storytelling",Family Games
Untold: Adventures Await,2017,1,4,60,8,364,7.18023,1.6667,1502,"Cooperative Game, Dice Rolling, Role Playing, Storytelling", Party Games
Untold: Adventures Await,2017,1,4,60,8,364,7.18023,1.6667,1502,"Cooperative Game, Dice Rolling, Role Playing, Storytelling", Thematic Games
Space Marine,1989,2,3,120,12,496,6.79851,3.1489,915,"Dice Rolling, Simultaneous Action Selection, Variable Player Powers",Wargames
Doodle City,2014,1,6,30,8,814,6.33759,1.4,1093,"Dice Rolling, Line Drawing, Network and Route Building, Paper-and-Pencil",Family Games
Farlight,2017,2,5,45,14,448,6.85281,2.375,1108,"Auction/Bidding, Card Drafting, Dice Rolling, Tile Placement, Worker Placement",
Ticket to Ride: Amsterdam,2020,2,4,15,8,366,7.14576,1.8,1231,"Card Drafting, Hand Management, Network and Route Building, Set Collection",
Arkham Horror: Final Hour,2019,1,4,60,12,691,6.58204,2.2,1675,"Cooperative Game, Solo / Solitaire Game",
Lovelace & Babbage,2019,2,4,30,14,416,6.8321,2.3333,1452,"Action Queue, Pattern Building, Push Your Luck, Set Collection, Variable Player Powers",
BattleTech CCG,1996,2,2,20,10,757,6.4814,2.4675,1123,Hand Management,Customizable Games
Alhambra: The Dice Game,2006,2,6,60,8,1126,6.20845,1.7203,1951,"Dice Rolling, Set Collection",Family Games
Winds of Plunder,2007,3,5,120,10,713,6.43064,2.3628,967,"Action Points, Auction/Bidding, Take That, Voting",Strategy Games
Winds of Plunder,2007,3,5,120,10,713,6.43064,2.3628,967,"Action Points, Auction/Bidding, Take That, Voting", Thematic Games
Kings of War,2012,2,0,60,0,254,7.82496,2.5238,513,"Dice Rolling, Line of Sight, Variable Player Powers",Wargames
Roads to Gettysburg II: Lee Strikes North,2018,1,2,1200,0,155,8.94271,3.6154,664,"Dice Rolling, Hexagon Grid, Simulation",Wargames
Basilica,2010,2,2,45,10,601,6.56428,2.3077,719,"Action Points, Area Majority / Influence, Card Drafting, Modular Board, Tile Placement",Strategy Games
The Lady and the Tiger,2017,1,6,20,6,493,6.75241,1.6667,1809,"Auction/Bidding, Card Drafting, Set Collection",
The Game of Things,2002,4,15,45,14,2037,6.09436,1.2289,4628,"Memory, Paper-and-Pencil",Party Games
Frederick the Great: The Campaigns of The Soldier King,1975,2,4,240,12,437,6.92689,2.7143,1336,"Dice Rolling, Grid Movement, Hexagon Grid, Ratio / Combat Results Table, Roll / Spin and Move, Scenario / Mission / Campaign Game, Simulation, Zone of Control",Wargames
Championship Formula Racing,2017,1,12,45,13,258,7.66198,2.6471,571,"Action Points, Action Queue, Variable Player Powers",Strategy Games
Wizard's Quest,1979,2,6,180,12,1412,6.1769,2.2638,3377,"Area Movement, Dice Rolling, Simulation, Variable Phase Order",Thematic Games
Wizard's Quest,1979,2,6,180,12,1412,6.1769,2.2638,3377,"Area Movement, Dice Rolling, Simulation, Variable Phase Order", Wargames
Dr. Jekyll & Mr. Hyde,1997,3,4,60,10,452,6.78716,2.3611,851,Trick-taking,Strategy Games
Kaivai,2005,3,4,120,12,391,6.89284,3.75,459,"Action Points, Area Movement, Auction/Bidding, Dice Rolling, Tile Placement",Strategy Games
Paradox,2016,2,4,120,10,379,7.09099,2.4706,782,"Action Points, Card Drafting, Set Collection",Strategy Games
1805: Sea of Glory,2009,2,2,480,12,294,7.34357,3.72,1047,"Chit-Pull System, Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation",Wargames
Village Green,2020,1,5,30,14,328,7.16551,2,890,"Hand Management, Matching, Solo / Solitaire Game, Square Grid, Variable Set-up",
Strat-O-Matic Pro Football,1968,1,2,120,11,380,7.18472,2.8378,666,,Strategy Games
Strat-O-Matic Pro Football,1968,1,2,120,11,380,7.18472,2.8378,666,, Thematic Games
Bloc by Bloc: The Insurrection Game,2016,2,4,180,13,324,7.42102,2.6875,850,"Action Points, Area Majority / Influence, Cooperative Game, Grid Movement, Modular Board, Point to Point Movement, Variable Player Powers",Strategy Games
Epic Resort,2014,2,4,120,12,648,6.51637,2.5172,1548,"Deck Bag and Pool Building, Hand Management, Worker Placement",Strategy Games
Dien Bien Phu: The Final Gamble,2014,2,2,1440,0,202,8.55272,3.1875,753,"Dice Rolling, Hexagon Grid",Wargames
The Last Spike,2015,2,6,45,10,459,6.7953,1.7857,680,"Stock Holding, Tile Placement",Family Games
The Last Spike,2015,2,6,45,10,459,6.7953,1.7857,680,"Stock Holding, Tile Placement", Strategy Games
Assault of the Giants,2017,3,6,150,14,486,6.79311,3.4348,1572,"Action Retrieval, Area Majority / Influence, Card Drafting, Dice Rolling, Hand Management, Trading, Variable Player Powers",Strategy Games
Tiny Ninjas,2019,1,2,15,8,312,7.67841,1.2222,601,"Dice Rolling, Hand Management, Push Your Luck, Take That",Family Games
Huida de Silver City,2013,1,4,120,12,458,6.93008,2.4516,612,"Cooperative Game, Dice Rolling, Hand Management, Role Playing, Team-Based Game, Variable Player Powers",Thematic Games
Orchard,1986,2,8,10,3,867,6.3353,1.0411,1734,"Cooperative Game, Dice Rolling",Children's Games
Bling Bling Gemstone,2012,2,6,20,4,575,6.55099,1.087,905,,Family Games
Bling Bling Gemstone,2012,2,6,20,4,575,6.55099,1.087,905,, Party Games
"Warhammer Epic 40,000",1997,2,4,180,0,582,6.60402,3.1786,811,"Dice Rolling, Modular Board, Variable Player Powers",Thematic Games
"Warhammer Epic 40,000",1997,2,4,180,0,582,6.60402,3.1786,811,"Dice Rolling, Modular Board, Variable Player Powers", Wargames
Vom Kap bis Kairo,2001,2,4,30,10,846,6.30197,1.8,1506,Auction/Bidding,Family Games
Mini Rogue: A 9-Card Print-and-Play Game,2016,1,2,60,10,407,7.17871,1.56,778,"Dice Rolling, Push Your Luck, Role Playing, Solo / Solitaire Game",
Wonder Woman: Challenge of the Amazons,2020,2,5,60,10,268,7.56204,2.3,1001,"Action Queue, Communication Limits, Cooperative Game, Variable Player Powers",
Complots,2013,2,8,15,8,437,6.81426,1.4286,1027,"Memory, Player Elimination, Take That, Variable Player Powers",Party Games
Die Fugger,2003,2,4,45,10,674,6.43198,1.9556,1011,Commodity Speculation,Strategy Games
Pacific Victory: War in the Pacific 1941-45,2000,2,2,240,12,400,6.92128,3.1964,847,"Dice Rolling, Secret Unit Deployment, Simulation",Wargames
Ratland,2017,2,6,30,8,463,6.97436,1.6316,844,"Simultaneous Action Selection, Take That, Variable Player Powers, Worker Placement",
Austerlitz 1805: Rising Eagles,2016,1,6,600,14,191,8.49084,3.3077,594,"Dice Rolling, Grid Movement, Hexagon Grid, Simulation",Wargames
Coin Age,2013,2,2,15,0,1815,6.068,1.3333,4862,"Area Majority / Influence, Area Movement, Push Your Luck",Abstract Games
Attack on Titan: The Last Stand,2017,2,5,30,14,574,6.67706,2.1,1320,"Dice Rolling, Push Your Luck",
New York,2011,2,6,60,8,514,6.64856,2.069,1485,"Card Drafting, Hand Management, Set Collection, Tile Placement",Family Games
The Three Musketeers: The Queen's Pendants,2009,2,5,45,8,449,6.80221,2.102,748,"Dice Rolling, Team-Based Game, Variable Player Powers",Thematic Games
Vienna,2015,3,5,30,10,575,6.5365,2.2333,1141,Dice Rolling,Family Games
Auf Teufel komm raus,2013,2,6,40,10,441,6.79078,1.7,491,"Betting and Bluffing, Push Your Luck",
iKNOW,2012,2,6,60,15,916,6.36372,1.5,1414,Betting and Bluffing,Party Games
The Gardens of the Alhambra,1993,2,4,60,8,1289,6.1457,1.8091,2049,"Area Majority / Influence, Tile Placement",Family Games
The Gardens of the Alhambra,1993,2,4,60,8,1289,6.1457,1.8091,2049,"Area Majority / Influence, Tile Placement", Strategy Games
EXIT: Das Spiel - Die Känguru-Eskapaden,2019,1,4,90,12,355,7.02591,2.2857,619,Cooperative Game,
Viktory II,2006,2,8,60,10,428,6.90658,2.4186,557,"Dice Rolling, Modular Board",Strategy Games
Key Market (Second Edition),2019,2,4,90,12,245,7.56118,3.2222,995,"Area Majority / Influence, Area Movement, Hand Management, Modular Board, Tile Placement, Trading, Worker Placement",
MegaCity: Oceania,2019,2,4,60,8,406,6.89803,2,757,"Area Majority / Influence, Modular Board, Real-Time, Stacking and Balancing, Tile Placement",
Fallout: Wasteland Warfare,2018,1,8,240,14,279,7.92186,3.9231,1060,"Cooperative Game, Dice Rolling, Player Elimination, Simulation",Thematic Games
Fallout: Wasteland Warfare,2018,1,8,240,14,279,7.92186,3.9231,1060,"Cooperative Game, Dice Rolling, Player Elimination, Simulation", Wargames
Buck Rogers: Battle for the 25th Century Game,1988,2,6,120,10,796,6.44408,2.6849,1549,"Area Movement, Dice Rolling, Minimap Resolution, Multiple Maps, Point to Point Movement, Ratio / Combat Results Table",Wargames
Mush! Mush!: Snow Tails 2,2013,2,8,30,12,360,6.96575,1.9259,556,"Catch the Leader, Hand Management, Modular Board, Race",Family Games
Schafkopf,1780,4,4,30,7,276,7.52614,2.6129,375,"Auction/Bidding, Team-Based Game, Trick-taking",Abstract Games
Schafkopf,1780,4,4,30,7,276,7.52614,2.6129,375,"Auction/Bidding, Team-Based Game, Trick-taking", Family Games
Bo?e Igrzysko,2010,3,4,120,12,264,7.65019,3.5676,241,"Area Majority / Influence, Auction/Bidding, Dice Rolling, Voting",Strategy Games
The Cards of Cthulhu,2014,1,4,90,0,487,6.81248,1.8333,1124,"Cooperative Game, Dice Rolling",Thematic Games
Dragonland,2002,2,4,45,9,920,6.28799,1.8411,1508,Set Collection,Family Games
In Magnificent Style: Pickett's Charge at Gettysburg,2012,1,1,60,13,275,7.43236,1.875,651,"Chit-Pull System, Dice Rolling, Events, Grid Movement, Push Your Luck, Simulation, Solo / Solitaire Game, Square Grid",Wargames
Hybrid,2003,2,2,120,12,322,7.40657,3.1628,863,"Dice Rolling, Modular Board, Role Playing",Thematic Games
CapCom Street Fighter Deck-Building Game,2014,2,5,45,15,583,6.65177,2.1026,1129,Deck Bag and Pool Building,Customizable Games
Silent Death,1990,2,8,120,10,395,6.96215,2.7544,706,"Dice Rolling, Hexagon Grid, Simulation, Variable Player Powers",Wargames
Football Highlights 2052,2019,1,4,60,9,282,7.35362,2.4444,798,"Card Drafting, Deck Bag and Pool Building, Hand Management, Solo / Solitaire Game",
JamSumo,2014,2,4,30,6,285,7.3218,1.3333,353,Flicking,
Hapsburg Eclipse,2014,1,1,30,13,319,7.25677,2.2083,807,"Action Points, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation, Solo / Solitaire Game",Wargames
Runebound,2004,2,6,120,12,1515,6.19153,2.5305,1655,Dice Rolling,Thematic Games
Seasons of Rice,2018,2,2,20,8,314,7.23564,1.625,1153,"Card Drafting, Tile Placement, Variable Player Powers",
Blood Royale,1987,3,5,240,12,628,6.5378,3.3231,1174,"Area Movement, Events, Paper-and-Pencil, Pick-up and Deliver, Role Playing, Set Collection, Simulation",Thematic Games
Tanto Cuore: Oktoberfest,2016,2,4,45,13,304,7.3431,2.2857,1122,"Card Drafting, Deck Bag and Pool Building, Hand Management, Set Collection",
Doctor Who: Solitaire Story Game,2009,1,1,45,11,282,7.96262,2.6444,510,"Dice Rolling, Storytelling",Thematic Games
Lost Legacy: Third Chronicle - Sacred Grail & Staff of Dragons,2015,2,6,10,14,403,6.86207,1.4667,1317,"Hand Management, Memory, Player Elimination",
Food Chain Island,2020,1,1,15,8,323,7.27043,1.2857,858,"Chaining, Network and Route Building",
Forum Romanum,1988,2,6,45,10,448,6.75609,2.3824,666,Area Majority / Influence,Abstract Games
Matryoshka,2016,3,5,20,8,555,6.65149,1.8333,1158,"Hand Management, Set Collection, Trading",Family Games
Sebastian Fitzek Safehouse,2017,2,4,30,12,571,6.54666,2.0625,1072,"Action Queue, Cooperative Game, Set Collection",
No Peace Without Spain! The War of the Spanish Succession 1702-1713,2011,2,2,240,12,257,7.66537,2.75,653,"Campaign / Battle Card Driven, Point to Point Movement",Wargames
Braggart,2010,2,6,30,10,866,6.3494,1.2308,1311,"Card Drafting, Hand Management, Set Collection, Storytelling, Take That",Family Games
Braggart,2010,2,6,30,10,866,6.3494,1.2308,1311,"Card Drafting, Hand Management, Set Collection, Storytelling, Take That", Party Games
Würfel Bingo,2007,1,5,30,7,716,6.38365,1.2586,1095,Dice Rolling,Family Games
Control,2016,2,4,15,10,705,6.53084,1.52,1693,"Hand Management, Take That",
La Viña,2019,2,5,45,8,383,7.10374,2.3333,772,"Hand Management, Set Collection",
Musée,2014,2,4,30,8,407,6.83146,1.1429,798,"Hand Management, Pattern Building, Set Collection",Family Games
Space Beans,1999,2,6,40,10,1424,6.08812,1.3866,2437,"Card Drafting, Set Collection",Family Games
The Fog of War,2016,2,2,120,10,299,7.27931,3,843,"Advantage Token, Area Movement, Betting and Bluffing, Hand Management, Secret Unit Deployment, Sudden Death Ending, Turn Order: Stat-Based",Wargames
Crows,2010,2,4,45,10,730,6.38802,1.9,1342,"Modular Board, Tile Placement",Abstract Games
Crows,2010,2,4,45,10,730,6.38802,1.9,1342,"Modular Board, Tile Placement", Family Games
Serengeti,2001,3,6,30,8,1123,6.18853,1.6614,1489,"Auction/Bidding, Set Collection",Family Games
Polis,2020,2,2,120,12,169,8.58308,3.84,494,"Area Majority / Influence, Area Movement, Dice Rolling, Simulation, Variable Phase Order, Victory Points as a Resource",Wargames
Nothing Gained But Glory,2010,2,2,300,0,220,7.79023,3.6818,992,"Dice Rolling, Hexagon Grid, Movement Points, Simulation",Wargames
Rumble in the Dungeon,2012,3,6,20,8,776,6.35154,1.12,1456,"Modular Board, Pick-up and Deliver, Point to Point Movement, Secret Unit Deployment",Party Games
Warrior Knights,1985,2,6,180,10,559,6.64856,3.2545,1201,"Area Majority / Influence, Voting",Strategy Games
Warrior Knights,1985,2,6,180,10,559,6.64856,3.2545,1201,"Area Majority / Influence, Voting", Thematic Games
Warrior Knights,1985,2,6,180,10,559,6.64856,3.2545,1201,"Area Majority / Influence, Voting", Wargames
Blox,2008,2,4,45,10,552,6.56913,2.0847,691,Hand Management,Abstract Games
Blox,2008,2,4,45,10,552,6.56913,2.0847,691,Hand Management, Family Games
Enemy at the Gates,1994,1,4,6000,12,257,7.64234,4.3947,790,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control",Wargames
Warhammer Age of Sigmar,2015,2,2,180,12,590,6.63281,2.5667,1062,"Dice Rolling, Line of Sight, Measurement Movement, Modular Board, Stat Check Resolution, Variable Player Powers",Wargames
JAB: Realtime Boxing,2011,2,2,15,10,1022,6.20963,1.7541,1797,"Memory, Pattern Building, Pattern Recognition",Thematic Games
Fire in the East,1984,2,4,3000,12,297,7.49529,4.4146,763,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control",Wargames
Federation Commander: Romulan Border,2006,2,8,60,10,248,7.7115,3.5122,625,"Action Points, Dice Rolling, Hexagon Grid, Simultaneous Action Selection",Thematic Games
Federation Commander: Romulan Border,2006,2,8,60,10,248,7.7115,3.5122,625,"Action Points, Dice Rolling, Hexagon Grid, Simultaneous Action Selection", Wargames
Bretagne,2015,2,4,120,14,464,6.72662,3.425,757,"Area Majority / Influence, Hand Management, Worker Placement",Strategy Games
Dreamwell,2016,2,4,45,13,596,6.57201,2.1667,1504,"Grid Movement, Modular Board, Pattern Building, Set Collection",
Castellan,2013,2,2,45,10,926,6.28244,1.4545,2300,"Enclosure, Hand Management",Abstract Games
Castellan,2013,2,2,45,10,926,6.28244,1.4545,2300,"Enclosure, Hand Management", Family Games
7th Sea Collectible Card Game,1998,2,6,45,12,532,6.67408,2.4737,821,"Area Movement, Hand Management",Customizable Games
Confrontation,2000,2,2,120,10,372,7.077,3.3922,569,"Dice Rolling, Variable Player Powers",
"The Greatest Day: Sword, Juno, and Gold Beaches",2015,2,8,6000,12,175,8.704,4.087,752,"Chit-Pull System, Hexagon Grid",Wargames
Reverse Charades,2010,6,99,30,6,480,6.69282,1.0556,1220,Acting,Party Games
Trade on the Tigris,2018,3,6,90,14,309,7.16424,2.8,561,"Card Drafting, Set Collection, Trading",
Endangered Orphans of Condyle Cove,2017,1,4,30,14,846,6.37713,1.6364,2255,"Modular Board, Player Elimination, Push Your Luck, Take That",
On to Richmond!,1998,2,2,180,12,200,8.01767,3.3448,650,"Hexagon Grid, Variable Phase Order",Wargames
TSCHAK!,2011,2,4,40,13,745,6.34468,1.5614,1022,"Auction/Bidding, Hand Management, Memory, Simultaneous Action Selection",Family Games
Krazy Wordz,2016,3,7,45,10,294,7.23748,1.3333,617,Simultaneous Action Selection,Party Games
Chartae,2019,2,2,10,7,481,6.71205,1.55,801,"Modular Board, Pattern Building, Tile Placement",Strategy Games
Infamy,2013,3,4,60,13,431,6.82645,2.85,901,"Auction/Bidding, Secret Unit Deployment, Simultaneous Action Selection, Take That, Worker Placement",Strategy Games
Cubitos,2021,2,4,60,10,202,8.06075,2.1429,668,"Deck Bag and Pool Building, Dice Rolling, Push Your Luck, Race",
Vampire: The Masquerade - Heritage,2020,2,4,90,14,269,7.91973,2.7778,1001,"Legacy Game, Once-Per-Game Abilities",Thematic Games
Monikers: More Monikers,2018,4,20,60,18,166,8.22637,0,727,"Acting, Card Drafting, Role Playing",
BuyWord,2004,1,4,45,8,753,6.34315,1.8095,1058,"Auction/Bidding, Dice Rolling, Set Collection",Family Games
It Happens..,2010,2,5,30,8,1032,6.19449,1.4189,1457,"Dice Rolling, Set Collection",Family Games
Caesar: Conquest of Gaul,1998,2,4,240,12,291,7.30773,3.5882,1252,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Simulation",Wargames
Gettysburg,2010,2,2,180,13,300,7.2005,2.8444,850,"Action Points, Dice Rolling",Wargames
Brick Party,2015,2,9,30,5,513,6.64016,1.4286,1156,"Cooperative Game, Hand Management",Party Games
Armageddon,2016,3,4,90,12,537,6.59663,2.9583,1320,"Auction/Bidding, Worker Placement",Strategy Games
Tramways Engineer's Workbook,2018,1,2,30,12,258,7.41395,3.0909,936,"Crayon Rail System, Modular Board, Network and Route Building, Pick-up and Deliver, Tile Placement",
The Barbarossa Campaign,2010,1,1,40,14,217,7.8818,3.1282,552,"Campaign / Battle Card Driven, Chit-Pull System, Dice Rolling, Hexagon Grid",Wargames
Unmatched: Buffy the Vampire Slayer,2020,2,4,40,14,200,8.22055,1.8333,892,"Area Movement, Hand Management, Variable Player Powers",
Waterloo,2009,2,2,180,13,393,6.91354,3.2459,935,"Action Points, Area Movement, Dice Rolling, Simulation",Wargames
NATO: The Next War in Europe,1983,2,2,240,12,555,6.66359,3.2405,1568,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Variable Set-up, Zone of Control",Wargames
Crimson Skies,1998,2,2,180,12,376,7.10578,2.9333,823,Simultaneous Action Selection,Wargames
King's Road,2017,2,5,30,10,527,6.61576,1.7692,994,"Area Majority / Influence, King of the Hill, Once-Per-Game Abilities, Simultaneous Action Selection",Abstract Games
Mole Rats in Space,2017,2,4,20,7,354,7.04251,1.2857,787,"Cooperative Game, Point to Point Movement",Family Games
Delve,2017,2,4,60,14,605,6.56539,2.0588,1659,"Dice Rolling, Die Icon Resolution, Storytelling, Tile Placement, Variable Player Powers",Thematic Games
Fast Forward: FEAR,2017,2,5,15,8,1193,6.12852,1.0667,2050,"Hand Management, Push Your Luck, Take That",Family Games
Fortress Europa,1978,2,2,240,12,572,6.65565,3.2,1727,"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Scenario / Mission / Campaign Game, Simulation, Sudden Death Ending, Zone of Control",Wargames
Living Planet,2019,1,4,120,14,333,7.41733,3.5417,997,"Area Majority / Influence, Grid Movement, Hand Management, Hexagon Grid, Map Addition, Modular Board, Tile Placement, Trading, Worker Placement",Strategy Games
Mag·Blast (Third Edition),2006,2,8,20,10,1924,6.01882,1.5607,2794,"Campaign / Battle Card Driven, Hand Management, Player Elimination, Take That, Variable Player Powers",Party Games
The One Hundred Torii,2020,1,4,60,8,292,7.33756,2.2857,775,"Set Collection, Solo / Solitaire Game, Tile Placement",
The Walled City: Londonderry & Borderlands,2014,2,4,60,13,441,6.80941,3.1875,1110,"Area Majority / Influence, Card Drafting, Enclosure, Hand Management",Strategy Games
Mystery Rummy: Escape from Alcatraz,2009,2,4,30,10,365,6.93395,1.4211,973,"Hand Management, Set Collection",
Heave Ho!,2002,2,2,45,10,905,6.26527,1.2874,1336,Hand Management,Family Games
Coconuts Duo,2014,2,2,20,6,355,6.99786,1,837,,Children's Games
Coconuts Duo,2014,2,2,20,6,355,6.99786,1,837,, Family Games
Jarl: The Vikings Tile-Laying Game,2015,2,2,25,13,377,6.94419,2.6667,1086,"Grid Movement, Tile Placement",Abstract Games
The Spoils,2006,2,6,40,13,502,6.94114,2.7667,837,"Hand Management, Variable Player Powers",Customizable Games
Copenhagen: Roll & Write,2019,2,4,40,8,444,6.76673,1.4286,1067,"Dice Rolling, Paper-and-Pencil, Pattern Building",
The Legend of Korra: Pro-Bending Arena,2018,2,2,45,12,279,7.59161,2.1667,936,"Area Majority / Influence, Area Movement, Deck Bag and Pool Building, Variable Player Powers",
Whistling Death,2003,1,4,240,14,259,8.21483,4.3231,637,"Dice Rolling, Simulation",Wargames
Peloponnesian War,2019,1,2,240,14,260,7.72314,4.069,1381,"Dice Rolling, Movement Points, Point to Point Movement, Scenario / Mission / Campaign Game, Simulation, Solo / Solitaire Game",Wargames
Monasterium,2020,2,4,120,12,268,7.54698,3.2857,545,,
My Happy Farm,2011,2,4,45,8,698,6.42812,1.6757,1231,"Card Drafting, Hand Management, Set Collection",Family Games
Spire's End,2020,1,2,120,16,247,8.22657,2.25,616,"Action Points, Campaign / Battle Card Driven, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Role Playing, Solo / Solitaire Game, Storytelling, Variable Player Powers",
Big Monster,2018,2,6,30,10,299,7.33916,2,540,"Card Drafting, Set Collection, Simultaneous Action Selection, Team-Based Game, Variable Player Powers",
Siberia: The Card Game,2012,2,4,20,9,451,6.7121,2.0714,607,"Deck Bag and Pool Building, Hand Management",Family Games
Fallen Land: A Post Apocalyptic Board Game,2017,2,5,300,14,324,8.25753,3.697,613,"Area Movement, Dice Rolling, Trading, Variable Player Powers",Thematic Games
Aquileia,2011,3,5,90,12,490,6.74268,2.925,827,"Auction/Bidding, Dice Rolling, Hand Management, Worker Placement",Strategy Games
Sailing Toward Osiris,2018,2,5,90,14,429,6.84054,2.8235,999,"Pattern Building, Worker Placement",
Desolate,2018,1,1,20,10,347,7.47765,1.6,694,"Dice Rolling, Push Your Luck",
Birds of a Feather,2015,1,7,15,9,463,6.74014,1.24,720,"Hand Management, Set Collection, Simultaneous Action Selection",Family Games
Bisikle,2009,1,4,30,5,507,6.61223,1.6364,655,Flicking,Family Games
At Any Cost: Metz 1870,2018,1,2,480,14,198,8.12808,3.2222,866,"Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation",Wargames
Stop Thief,1979,2,4,30,10,855,6.35833,1.675,1612,"Dice Rolling, Grid Movement, Hidden Movement, Memory",Family Games
Blue vs. Gray,1999,2,4,120,12,450,6.77179,2.8438,1106,"Dice Rolling, Hand Management",Wargames
Unexploded Cow,2001,2,6,25,12,1720,6.07788,1.3699,3562,"Dice Rolling, Set Collection",Family Games
Kluster,2018,1,4,20,14,404,6.89351,1,880,Area Majority / Influence,Family Games
Source of the Nile,1978,1,6,180,12,584,6.49368,2.8525,1494,"Dice Rolling, Events, Hexagon Grid, Paper-and-Pencil, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Variable Set-up",Strategy Games
Source of the Nile,1978,1,6,180,12,584,6.49368,2.8525,1494,"Dice Rolling, Events, Hexagon Grid, Paper-and-Pencil, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Variable Set-up", Thematic Games
Empires of the Ancient World,2000,3,5,180,12,535,6.62371,2.9759,859,"Area Majority / Influence, Campaign / Battle Card Driven, Rock-Paper-Scissors, Trading",Strategy Games
Alien vs Predator: The Hunt Begins,2015,1,3,120,12,521,6.95096,3.4583,1411,"Action Points, Area Movement, Dice Rolling, Hand Management, Modular Board, Player Elimination, Role Playing, Secret Unit Deployment, Variable Player Powers",Thematic Games
