Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Mechanics,Domains
7 Wonders Duel,2015,2,2,30,10,60302,8.10645,2.2261,94343,"Card Drafting, Drafting, Set Collection, Sudden Death Ending, Tug of War",Strategy Games
Concordia,2013,2,5,100,13,28105,8.12283,3.0252,32014,"Action Retrieval, Advantage Token, Auction: Dutch, Card Drafting, Deck Bag and Pool Building, Hand Management, Movement Points, Point to Point Movement, Set Collection, Variable Set-up",Strategy Games
Brass: Lancashire,2007,2,4,120,14,19400,8.17458,3.8637,25429,"Hand Management, Income, Loans, Network and Route Building",Strategy Games
Wingspan,2019,1,5,70,10,43165,8.11403,2.4194,61775,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game",Family Games
Wingspan,2019,1,5,70,10,43165,8.11403,2.4194,61775,"Card Drafting, Dice Rolling, Drafting, End Game Bonuses, Hand Management, Set Collection, Solo / Solitaire Game", Strategy Games
A Feast for Odin,2016,1,4,120,12,17377,8.19634,3.8387,22794,"Automatic Resource Growth, Dice Rolling, Grid Coverage, Income, Pattern Building, Push Your Luck, Solo / Solitaire Game, Tile Placement, Turn Order: Pass Order, Worker Placement",Strategy Games
Arkham Horror: The Card Game,2016,1,2,120,14,28577,8.17435,3.4388,50883,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers",Customizable Games
Arkham Horror: The Card Game,2016,1,2,120,14,28577,8.17435,3.4388,50883,"Action Points, Cooperative Game, Deck Construction, Hand Management, Role Playing, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Variable Player Powers", Thematic Games
Viticulture Essential Edition,2015,1,6,90,13,29486,8.08427,2.9082,39747,"Contracts, Hand Management, Solo / Solitaire Game, Turn Order: Auction, Victory Points as a Resource, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Nemesis,2018,1,5,180,12,12290,8.40328,3.3472,17574,"Campaign / Battle Card Driven, Cooperative Game, Dice Rolling, Hidden Roles, Modular Board, Player Elimination, Semi-Cooperative Game, Solo / Solitaire Game, Team-Based Game, Traitor Game, Variable Player Powers",Thematic Games
Orléans,2014,2,4,90,12,22244,8.08501,3.0463,27093,"Deck Bag and Pool Building, Point to Point Movement, Turn Order: Progressive",Strategy Games
Mage Knight Board Game,2011,1,4,240,14,27850,8.09897,4.3118,39421,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers",Strategy Games
Mage Knight Board Game,2011,1,4,240,14,27850,8.09897,4.3118,39421,"Card Drafting, Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Grid Movement, Hand Management, Hexagon Grid, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers", Thematic Games
Root,2018,2,4,90,10,24412,8.10459,3.6725,37715,"Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers",Strategy Games
Root,2018,2,4,90,10,24412,8.10459,3.6725,37715,"Action Queue, Action Retrieval, Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Point to Point Movement, Race, Variable Player Powers", Wargames
Puerto Rico,2002,3,5,150,12,63128,7.98894,3.2797,73413,"Action Drafting, End Game Bonuses, Follow, Hidden Victory Points, Increase Value of Unchosen Resources, Turn Order: Progressive, Variable Phase Order",Strategy Games
Food Chain Magnate,2015,2,5,240,14,13863,8.13744,4.1994,16413,"Card Drafting, Delayed Purchase, Income, Market, Modular Board, Network and Route Building, Simultaneous Action Selection",Strategy Games
Caverna: The Cave Farmers,2013,1,7,210,12,28123,8.01964,3.7859,35475,"Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",Strategy Games
